id,gta_intervention_url,gta_act_title,gta_evaluation,hs_scope_1,hs_scope_2,hs_revision,partners,start_date,end_date,effect,rate_type,rate_value,unit,program,notes
1,https://globaltradealert.org/intervention/20516,United States of America: Reduction in the fees assessed on imports of cotton and cotton-containing products,Green,"hs6: 520100, 520210, 520291, 520299, 520300, 600110, 600121, 600122, 600129, 600191, 600192, 600199, 600240, 600290, 600310, 600320, 600330, 600340, 600390, 600410, 600490, 600521, 600522, 600523, 600524, 600531, 600532, 600533, 600534, 600541, 600542, 600543, 600544, 600590, 600610, 600621, 600622, 600623, 600624, 600631, 600632, 600633, 600634, 600641, 600642, 600643, 600644, 600690, 610120, 610130, 610190, 610210, 610220, 610230, 610290, 610310, 610322, 610323, 610329, 610331, 610332, 610333, 610339, 610341, 610342, 610343, 610349, 610413, 610419, 610422, 610423, 610429, 610431, 610432, 610433, 610439, 610441, 610442, 610443, 610444, 610449, 610451, 610452, 610453, 610459, 610461, 610462, 610463, 610469, 610510, 610520, 610590, 610610, 610620, 610690, 610711, 610712, 610719, 610721, 610722, 610729, 610791, 610799, 610811, 610819, 610821, 610822, 610829, 610831, 610832, 610839, 610891, 610892, 610899, 610910, 610990, 611011, 611012, 611019, 611020, 611030, 611090, 611120, 611130, 611190, 611211, 611212, 611219, 611220, 611231, 611239, 611241, 611249, 611300, 611420, 611430, 611490, 611510, 611521, 611522, 611529, 611530, 611594, 611595, 611596, 611599, 611610, 611691, 611692, 611693, 611699, 611710, 611780, 611790, 620111, 620192, 620193, 620199, 620221, 620292, 620293, 620299, 620311, 620312, 620319, 620322, 620323, 620329, 620331, 620332, 620333, 620339, 620341, 620342, 620343, 620349, 620411, 620412, 620413, 620419, 620421, 620422, 620423, 620429, 620431, 620432, 620433, 620439, 620441, 620442, 620443, 620444, 620449, 620451, 620452, 620453, 620459, 620461, 620462, 620463, 620469, 620520, 620530, 620590, 620610, 620620, 620630, 620640, 620690, 620711, 620719, 620721, 620722, 620729, 620791, 620799, 620811, 620819, 620821, 620822, 620829, 620891, 620892, 620899, 620920, 620930, 620990, 621010, 621020, 621030, 621040, 621050, 621111, 621112, 621120, 621132, 621133, 621139, 621142, 621143, 621149, 621210, 621220, 621230, 621290, 621320, 621390, 621410, 621420, 621430, 621440, 621490, 621510, 621520, 621590, 621600, 621710, 621790, 630110, 630120, 630130, 630140, 630190, 630210, 630221, 630222, 630229, 630231, 630232, 630239, 630240, 630251, 630253, 630259, 630260, 630291, 630293, 630299, 630312, 630319, 630391, 630392, 630399, 630411, 630419, 630491, 630492, 630493, 630499, 630510, 630520, 630532, 630533, 630539, 630590, 630612, 630619, 630622, 630629, 630630, 630640, 630690, 630710, 630720, 630790, 630800, 630900, 631010, 631090",NA,HS2012,"Argentina, Armenia, Austria, Bahamas, Bangladesh, Bosnia & Herzegovina, Botswana, Brazil, Brunei Darussalam, Bulgaria, Cambodia, China, Croatia, Czechia, Denmark, Ecuador, Egypt, Estonia, Ethiopia, Finland, France, Georgia, Germany, Ghana, Guyana, Haiti, Hong Kong, Hungary, India, Indonesia, Ireland, Italy, Japan, Kenya, Latvia, Lesotho, Lithuania, Macao, Macedonia, Madagascar, Malawi, Malaysia, Malta, Mauritius, Myanmar, Nepal, Netherlands, New Zealand, Norway, Pakistan, Philippines, Poland, Portugal, Republic of Moldova, Romania, Russia, Slovakia, Slovenia, South Africa, Spain, Sri Lanka, Eswatini, Sweden, Switzerland, Thailand, Tunisia, Turkiye, Turkmenistan, Ukraine, United Arab Emirates, United Kingdom, Tanzania",2015-11-02,NA,adjust,specific,-7.15e-4,kg,NA,NA
2,https://globaltradealert.org/intervention/13420,United States of America: Reduced MFN tariffs on certain environmental goods,Green,"hs6: 840420, 840690",NA,HS2012,"Argentina, Austria, Belgium, Bolivia, Brazil, Cambodia, China, Croatia, Czechia, Denmark, Estonia, France, Germany, Hungary, India, Indonesia, Italy, Japan, Lithuania, Malaysia, Netherlands, Philippines, Poland, Portugal, Romania, South Africa, Spain, Sweden, Switzerland, Thailand, Turkiye, Ukraine, United Kingdom",2016-01-01,NA,override,adval,0.05,NA,NA,NA
3,https://globaltradealert.org/intervention/57508,United States of America: Scope of fees on imported bovine meat expanded to cover certain veal cuts,Red,"hs8: 02011005, 02011010, 02011050, 02012050",NA,HS2017,"Australia, Brazil, Canada, Chile, Costa Rica, Ireland, Japan, Mexico, New Zealand, Nicaragua, United Kingdom, Uruguay",2017-06-29,NA,adjust,specific,0.01431558,kg,NA,NA
4,https://globaltradealert.org/intervention/57508,United States of America: Scope of fees on imported bovine meat expanded to cover certain veal cuts,Red,"hs8: 020130, 020230",NA,HS2017,"Australia, Brazil, Canada, Chile, Costa Rica, Ireland, Japan, Mexico, New Zealand, Nicaragua, United Kingdom, Uruguay",2017-06-29,NA,adjust,specific,0.02090075,kg,NA,NA
5,https://globaltradealert.org/intervention/58234,United States of America: Increase in the assessments paid on imports of cotton and cotton-containing products,Red,"hs6: 520100, 520411, 520419, 520420, 520511, 520512, 520513, 520514, 520515, 520521, 520522, 520523, 520524, 520526, 520527, 520528, 520531, 520532, 520533, 520534, 520535, 520541, 520542, 520543, 520544, 520546, 520547, 520548, 520611, 520612, 520613, 520614, 520615, 520621, 520622, 520623, 520624, 520625, 520631, 520632, 520633, 520634, 520635, 520641, 520642, 520643, 520644, 520645, 520710, 520790, 520811, 520812, 520813, 520819, 520821, 520822, 520823, 520829, 520831, 520832, 520833, 520839, 520841, 520842, 520843, 520849, 520851, 520852, 520859, 520911, 520912, 520919, 520921, 520922, 520929, 520931, 520932, 520939, 520941, 520942, 520943, 520949, 520951, 520952, 520959, 521011, 521019, 521021, 521029, 521031, 521032, 521039, 521041, 521049, 521051, 521059, 521111, 521112, 521119, 521120, 521131, 521132, 521139, 521141, 521142, 521143, 521149, 521151, 521152, 521159, 521211, 521212, 521213, 521214, 521215, 521221, 521222, 521223, 521224, 521225, 530911, 530919, 530921, 530929, 540710, 540720, 540730, 540741, 540742, 540743, 540744, 540751, 540752, 540753, 540754, 540761, 540769, 540771, 540772, 540773, 540774, 540781, 540782, 540783, 540784, 540791, 540792, 540793, 540794, 550911, 550912, 550921, 550922, 550931, 550932, 550941, 550942, 550951, 550952, 550953, 550959, 550961, 550962, 550969, 550991, 550992, 550999, 551211, 551219, 551221, 551229, 551291, 551299, 551311, 551312, 551313, 551319, 551321, 551323, 551329, 551331, 551339, 551341, 551349, 551411, 551412, 551419, 551421, 551422, 551423, 551429, 551430, 551441, 551442, 551443, 551449, 551511, 551512, 551513, 551519, 551521, 551522, 551529, 551591, 551599, 551611, 551612, 551613, 551614, 551621, 551622, 551623, 551624, 551631, 551632, 551633, 551634, 551641, 551642, 551643, 551644, 551691, 551692, 551693, 551694, 560121, 560210, 560290, 560311, 560312, 560313, 560314, 560391, 560392, 560393, 560394, 560410, 560490, 560500, 560600, 560721, 560729, 560741, 560749, 560750, 560790, 560811, 560819, 560890, 560900, 570110, 570190, 570210, 570220, 570231, 570232, 570239, 570241, 570242, 570249, 570250, 570291, 570292, 570299, 570310, 570321, 570329, 570331, 570339, 570390, 570410, 570420, 570490, 570500, 580110, 580121, 580122, 580123, 580126, 580127, 580131, 580132, 580133, 580136, 580137, 580190",NA,HS2022,"Afghanistan, Australia, Austria, Bangladesh, Belarus, Belgium, Brazil, Bulgaria, Canada, China, Colombia, Costa Rica, Czechia, Republic of Korea, Denmark, Egypt, El Salvador, Estonia, Finland, France, Germany, Greece, Guatemala, Honduras, Hong Kong, India, Indonesia, Iran, Ireland, Israel, Italy, Japan, Lithuania, Luxembourg, Malaysia, Mexico, Morocco, Nepal, Netherlands, New Zealand, Pakistan, Peru, Philippines, Poland, Portugal, Romania, Russia, Saudi Arabia, Slovakia, Slovenia, South Africa, Spain, Sri Lanka, Sweden, Switzerland, Thailand, Turkiye, Turkmenistan, United Arab Emirates, United Kingdom, Vietnam",2017-11-06,NA,adjust,specific,0.00131,kg,NA,NA
6,https://globaltradealert.org/intervention/109981,United States of America: Tariffs on steel imports under the national security provision of U.S. trade law,Red,"hs6: 720610, 720690, 720711, 720712, 720719, 720720, 720810, 720825, 720826, 720827, 720836, 720837, 720838, 720839, 720840, 720851, 720852, 720853, 720854, 720890, 720915, 720916, 720917, 720918, 720925, 720926, 720927, 720928, 720990, 721011, 721012, 721020, 721030, 721041, 721049, 721050, 721061, 721069, 721070, 721090, 721113, 721114, 721119, 721123, 721129, 721190, 721210, 721220, 721230, 721240, 721250, 721260, 721310, 721320, 721391, 721399, 721410, 721420, 721430, 721491, 721499, 721510, 721550, 721590, 721610, 721621, 721622, 721631, 721632, 721633, 721640, 721650, 721699, 721710, 721720, 721730, 721790, 721810, 721891, 721899, 721911, 721912, 721913, 721914, 721921, 721922, 721923, 721924, 721931, 721932, 721933, 721934, 721935, 721990, 722011, 722012, 722020, 722090, 722100, 722211, 722219, 722220, 722230, 722240, 722300, 722410, 722490, 722511, 722519, 722530, 722540, 722550, 722591, 722592, 722599, 722611, 722619, 722620, 722691, 722692, 722699, 722710, 722720, 722790, 722810, 722820, 722830, 722840, 722850, 722860, 722870, 722880, 722920, 722990, 730110, 730120, 730210, 730230, 730240, 730290, 730300, 730411, 730419, 730422, 730423, 730424, 730429, 730431, 730439, 730441, 730449, 730451, 730459, 730490, 730511, 730512, 730519, 730520, 730531, 730539, 730590, 730611, 730619, 730621, 730629, 730630, 730640, 730650, 730661, 730669, 730690",NA,HS2022,"Bahrain, Belarus, Chile, China, Chinese Taipei, Colombia, Costa Rica, Dominican Republic, Egypt, Guatemala, Honduras, India, Indonesia, Kazakhstan, Macedonia, Malaysia, Morocco, New Zealand, Oman, Pakistan, Peru, Philippines, Russia, Saudi Arabia, Serbia, Singapore, South Africa, Thailand, United Arab Emirates, Venezuela, Vietnam",2018-03-23,2025-06-03,adjust,adval,0.25,NA,section_232_steel_al,Section 232 Steel and Aluminium
7,https://globaltradealert.org/intervention/109989,United States of America: Tariffs on steel imports under the national security provision of U.S. trade law,Red,"hs6: 720610, 720690, 720711, 720712, 720719, 720720, 720810, 720825, 720826, 720827, 720836, 720837, 720838, 720839, 720840, 720851, 720852, 720853, 720854, 720890, 720915, 720916, 720917, 720918, 720925, 720926, 720927, 720928, 720990, 721011, 721012, 721020, 721030, 721041, 721049, 721050, 721061, 721069, 721070, 721090, 721113, 721114, 721119, 721123, 721129, 721190, 721210, 721220, 721230, 721240, 721250, 721260, 721310, 721320, 721391, 721399, 721410, 721420, 721430, 721491, 721499, 721510, 721550, 721590, 721610, 721621, 721622, 721631, 721632, 721633, 721640, 721650, 721699, 721710, 721720, 721730, 721790, 721810, 721891, 721899, 721911, 721912, 721913, 721914, 721921, 721922, 721923, 721924, 721931, 721932, 721933, 721934, 721935, 721990, 722011, 722012, 722020, 722090, 722100, 722211, 722219, 722220, 722230, 722240, 722300, 722410, 722490, 722511, 722519, 722530, 722540, 722550, 722591, 722592, 722599, 722611, 722619, 722620, 722691, 722692, 722699, 722710, 722720, 722790, 722810, 722820, 722830, 722840, 722850, 722860, 722870, 722880, 722920, 722990, 730110, 730120, 730210, 730230, 730240, 730290, 730300, 730411, 730419, 730422, 730423, 730424, 730429, 730431, 730439, 730441, 730449, 730451, 730459, 730490, 730511, 730512, 730519, 730520, 730531, 730539, 730590, 730611, 730619, 730621, 730629, 730630, 730640, 730650, 730661, 730669, 730690",NA,HS2022,Japan,2018-03-23,2022-03-31,adjust,adval,0.25,NA,section_232_steel_al,Section 232 Steel and Aluminium
8,https://globaltradealert.org/intervention/109998,United States of America: Tariffs on aluminum imports under the national security provision of U.S. trade law,Red,"hs6: 760110, 760120, 760410, 760421, 760429, 760511, 760519, 760521, 760529, 760611, 760612, 760691, 760692, 760711, 760719, 760720, 760810, 760820, 760900",hs8: 76169951,HS2017,"Albania, Armenia, Bahamas, Bahrain, Bolivia, Cambodia, Chile, China, Chinese Taipei, Colombia, Costa Rica, Dominican Republic, Ecuador, El Salvador, Guatemala, Honduras, Hong Kong, Hungary, India, Indonesia, Israel, Japan, Jordan, Kuwait, Malaysia, Morocco, Mozambique, Myanmar, New Zealand, Oman, Panama, Paraguay, Peru, Philippines, Qatar, Russia, Saudi Arabia, Singapore, South Africa, Thailand, Tunisia, Turkiye, Ukraine, United Arab Emirates, Venezuela, Vietnam",2018-03-23,2025-03-11,adjust,adval,0.1,NA,section_232_steel_al,Section 232 Steel and Aluminium
9,https://globaltradealert.org/intervention/110050,United States of America: Tariffs on steel imports under the national security provision of U.S. trade law,Red,"hs6: 720610, 720690, 720711, 720712, 720719, 720720, 720810, 720825, 720826, 720827, 720836, 720837, 720838, 720839, 720840, 720851, 720852, 720853, 720854, 720890, 720915, 720916, 720917, 720918, 720925, 720926, 720927, 720928, 720990, 721011, 721012, 721020, 721030, 721041, 721049, 721050, 721061, 721069, 721070, 721090, 721113, 721114, 721119, 721123, 721129, 721190, 721210, 721220, 721230, 721240, 721250, 721260, 721310, 721320, 721391, 721399, 721410, 721420, 721430, 721491, 721499, 721510, 721550, 721590, 721610, 721621, 721622, 721631, 721632, 721633, 721640, 721650, 721699, 721710, 721720, 721730, 721790, 721810, 721891, 721899, 721911, 721912, 721913, 721914, 721921, 721922, 721923, 721924, 721931, 721932, 721933, 721934, 721935, 721990, 722011, 722012, 722020, 722090, 722100, 722211, 722219, 722220, 722230, 722240, 722300, 722410, 722490, 722511, 722519, 722530, 722540, 722550, 722591, 722592, 722599, 722611, 722619, 722620, 722691, 722692, 722699, 722710, 722720, 722790, 722810, 722820, 722830, 722840, 722850, 722860, 722870, 722880, 722920, 722990, 730110, 730120, 730210, 730230, 730240, 730290, 730300, 730411, 730419, 730422, 730423, 730424, 730429, 730431, 730439, 730441, 730449, 730451, 730459, 730490, 730511, 730512, 730519, 730520, 730531, 730539, 730590, 730611, 730619, 730621, 730629, 730630, 730640, 730650, 730661, 730669, 730690",NA,HS2022,Turkiye,2018-03-23,2018-08-12,adjust,adval,0.25,NA,section_232_steel_al,Section 232 Steel and Aluminium
10,https://globaltradealert.org/intervention/111510,United States of America: Tariffs on steel imports under the national security provision of U.S. trade law,Red,"hs6: 720610, 720690, 720711, 720712, 720719, 720720, 720810, 720825, 720826, 720827, 720836, 720837, 720838, 720839, 720840, 720851, 720852, 720853, 720854, 720890, 720915, 720916, 720917, 720918, 720925, 720926, 720927, 720928, 720990, 721011, 721012, 721020, 721030, 721041, 721049, 721050, 721061, 721069, 721070, 721090, 721113, 721114, 721119, 721123, 721129, 721190, 721210, 721220, 721230, 721240, 721250, 721260, 721310, 721320, 721391, 721399, 721410, 721420, 721430, 721491, 721499, 721510, 721550, 721590, 721610, 721621, 721622, 721631, 721632, 721633, 721640, 721650, 721699, 721710, 721720, 721730, 721790, 721810, 721891, 721899, 721911, 721912, 721913, 721914, 721921, 721922, 721923, 721924, 721931, 721932, 721933, 721934, 721935, 721990, 722011, 722012, 722020, 722090, 722100, 722211, 722219, 722220, 722230, 722240, 722300, 722410, 722490, 722511, 722519, 722530, 722540, 722550, 722591, 722592, 722599, 722611, 722619, 722620, 722691, 722692, 722699, 722710, 722720, 722790, 722810, 722820, 722830, 722840, 722850, 722860, 722870, 722880, 722920, 722990, 730110, 730120, 730210, 730230, 730240, 730290, 730300, 730411, 730419, 730422, 730423, 730424, 730429, 730431, 730439, 730441, 730449, 730451, 730459, 730490, 730511, 730512, 730519, 730520, 730531, 730539, 730590, 730611, 730619, 730621, 730629, 730630, 730640, 730650, 730661, 730669, 730690",NA,HS2022,Turkiye,2018-03-23,2022-05-08,adjust,adval,0.25,NA,section_232_steel_al,Section 232 Steel and Aluminium
11,https://globaltradealert.org/intervention/71655,"United States of America: Imposition of section 232 import tariffs on certain steel goods from Canada, the European Union and Mexico and quotas on imports from Argentina and Brazil",Red,"hs6: 720610, 720690, 720711, 720712, 720719, 720720, 720810, 720825, 720826, 720827, 720836, 720837, 720838, 720839, 720840, 720851, 720852, 720853, 720854, 720890, 720915, 720916, 720917, 720918, 720925, 720926, 720927, 720928, 720990, 721011, 721012, 721020, 721030, 721041, 721049, 721050, 721061, 721069, 721070, 721090, 721113, 721114, 721119, 721123, 721129, 721190, 721210, 721220, 721230, 721240, 721250, 721260, 721310, 721320, 721391, 721399, 721410, 721420, 721430, 721491, 721499, 721510, 721550, 721590, 721610, 721621, 721622, 721631, 721632, 721633, 721640, 721650, 721699, 721710, 721720, 721730, 721790, 721810, 721891, 721899, 721911, 721912, 721913, 721914, 721921, 721922, 721923, 721924, 721931, 721932, 721933, 721934, 721935, 721990, 722011, 722012, 722020, 722090, 722100, 722211, 722219, 722220, 722230, 722240, 722300, 722410, 722490, 722511, 722519, 722530, 722540, 722550, 722591, 722592, 722599, 722611, 722619, 722620, 722691, 722692, 722699, 722710, 722720, 722790, 722810, 722820, 722830, 722840, 722850, 722860, 722870, 722880, 722920, 722990, 730110, 730120, 730210, 730230, 730240, 730290, 730300, 730411, 730419, 730422, 730423, 730424, 730429, 730431, 730439, 730441, 730449, 730451, 730459, 730490, 730511, 730512, 730519, 730520, 730531, 730539, 730590, 730611, 730619, 730621, 730629, 730630, 730640, 730650, 730661, 730669, 730690",NA,HS2022,"Canada, Mexico",2018-06-01,2019-05-16,adjust,adval,0.25,NA,section_232_steel_al,Section 232 Steel and Aluminium
12,https://globaltradealert.org/intervention/71660,"United States of America: Imposition of section 232 import tariffs on certain aluminium goods from Brazil, Canada, the European Union, Mexico and the Republic of Korea and quotas on imports from Argentina",Red,"hs6: 760110, 760120, 760410, 760421, 760429, 760511, 760519, 760521, 760529, 760611, 760612, 760691, 760692, 760711, 760719, 760720, 760810, 760820, 760900",hs8: 76169951,HS2017,"Canada, Mexico",2018-06-01,2019-05-16,adjust,adval,0.1,NA,section_232_steel_al,Section 232 Steel and Aluminium
13,https://globaltradealert.org/intervention/109988,"United States of America: Imposition of section 232 import tariffs on certain steel goods from Canada, the European Union and Mexico and quotas on imports from Argentina and Brazil",Red,"hs6: 720610, 720690, 720711, 720712, 720719, 720720, 720810, 720825, 720826, 720827, 720836, 720837, 720838, 720839, 720840, 720851, 720852, 720853, 720854, 720890, 720915, 720916, 720917, 720918, 720925, 720926, 720927, 720928, 720990, 721011, 721012, 721020, 721030, 721041, 721049, 721050, 721061, 721069, 721070, 721090, 721113, 721114, 721119, 721123, 721129, 721190, 721210, 721220, 721230, 721240, 721250, 721260, 721310, 721320, 721391, 721399, 721410, 721420, 721430, 721491, 721499, 721510, 721550, 721590, 721610, 721621, 721622, 721631, 721632, 721633, 721640, 721650, 721699, 721710, 721720, 721730, 721790, 721810, 721891, 721899, 721911, 721912, 721913, 721914, 721921, 721922, 721923, 721924, 721931, 721932, 721933, 721934, 721935, 721990, 722011, 722012, 722020, 722090, 722100, 722211, 722219, 722220, 722230, 722240, 722300, 722410, 722490, 722511, 722519, 722530, 722540, 722550, 722591, 722592, 722599, 722611, 722619, 722620, 722691, 722692, 722699, 722710, 722720, 722790, 722810, 722820, 722830, 722840, 722850, 722860, 722870, 722880, 722920, 722990, 730110, 730120, 730210, 730230, 730240, 730290, 730300, 730411, 730419, 730422, 730423, 730424, 730429, 730431, 730439, 730441, 730449, 730451, 730459, 730490, 730511, 730512, 730519, 730520, 730531, 730539, 730590, 730611, 730619, 730621, 730629, 730630, 730640, 730650, 730661, 730669, 730690",NA,HS2022,"Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland",2018-06-01,2021-12-31,adjust,adval,0.25,NA,section_232_steel_al,Section 232 Steel and Aluminium
14,https://globaltradealert.org/intervention/110004,"United States of America: Imposition of section 232 import tariffs on certain aluminium goods from Brazil, Canada, the European Union, Mexico and the Republic of Korea and quotas on imports from Argentina",Red,"hs6: 760110, 760120, 760410, 760421, 760429, 760511, 760519, 760521, 760529, 760611, 760612, 760691, 760692, 760711, 760719, 760720, 760810, 760820, 760900",hs8: 76169951,HS2017,"Austria, Belgium, Czechia, Denmark, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Luxembourg, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Spain, Sweden, Switzerland",2018-06-01,2021-12-31,adjust,adval,0.1,NA,section_232_steel_al,Section 232 Steel and Aluminium
15,https://globaltradealert.org/intervention/110006,"United States of America: Imposition of section 232 import tariffs on certain aluminium goods from Brazil, Canada, the European Union, Mexico and the Republic of Korea and quotas on imports from Argentina",Red,"hs6: 760110, 760120, 760410, 760421, 760429, 760511, 760519, 760521, 760529, 760611, 760612, 760691, 760692, 760711, 760719, 760720, 760810, 760820, 760900",hs8: 76169951,HS2017,"Brazil, Republic of Korea",2018-06-01,NA,adjust,adval,0.1,NA,section_232_steel_al,Section 232 Steel and Aluminium
16,https://globaltradealert.org/intervention/110007,"United States of America: Imposition of section 232 import tariffs on certain aluminium goods from Brazil, Canada, the European Union, Mexico and the Republic of Korea and quotas on imports from Argentina",Red,"hs6: 760110, 760120, 760410, 760421, 760429, 760511, 760519, 760521, 760529, 760611, 760612, 760691, 760692, 760711, 760719, 760720, 760810, 760820, 760900",hs8: 76169951,HS2017,United Kingdom,2018-06-01,2022-05-31,adjust,adval,0.1,NA,section_232_steel_al,Section 232 Steel and Aluminium
17,https://globaltradealert.org/intervention/110010,"United States of America: Imposition of section 232 import tariffs on certain steel goods from Canada, the European Union and Mexico and quotas on imports from Argentina and Brazil",Red,"hs6: 720610, 720690, 720711, 720712, 720719, 720720, 720810, 720825, 720826, 720827, 720836, 720837, 720838, 720839, 720840, 720851, 720852, 720853, 720854, 720890, 720915, 720916, 720917, 720918, 720925, 720926, 720927, 720928, 720990, 721011, 721012, 721020, 721030, 721041, 721049, 721050, 721061, 721069, 721070, 721090, 721113, 721114, 721119, 721123, 721129, 721190, 721210, 721220, 721230, 721240, 721250, 721260, 721310, 721320, 721391, 721399, 721410, 721420, 721430, 721491, 721499, 721510, 721550, 721590, 721610, 721621, 721622, 721631, 721632, 721633, 721640, 721650, 721699, 721710, 721720, 721730, 721790, 721810, 721891, 721899, 721911, 721912, 721913, 721914, 721921, 721922, 721923, 721924, 721931, 721932, 721933, 721934, 721935, 721990, 722011, 722012, 722020, 722090, 722100, 722211, 722219, 722220, 722230, 722240, 722300, 722410, 722490, 722511, 722519, 722530, 722540, 722550, 722591, 722592, 722599, 722611, 722619, 722620, 722691, 722692, 722699, 722710, 722720, 722790, 722810, 722820, 722830, 722840, 722850, 722860, 722870, 722880, 722920, 722990, 730110, 730120, 730210, 730230, 730240, 730290, 730300, 730411, 730419, 730422, 730423, 730424, 730429, 730431, 730439, 730441, 730449, 730451, 730459, 730490, 730511, 730512, 730519, 730520, 730531, 730539, 730590, 730611, 730619, 730621, 730629, 730630, 730640, 730650, 730661, 730669, 730690",NA,HS2022,United Kingdom,2018-06-01,2022-05-31,adjust,adval,0.25,NA,section_232_steel_al,Section 232 Steel and Aluminium
